timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749075530270,160,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-109,text,true,,1268,190,16,16,https://api.clickup.com/api/v2/user,160,0,22
1749075530293,227,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-97,text,true,,1268,190,18,18,https://api.clickup.com/api/v2/user,227,0,138
1749075530290,236,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-99,text,true,,1268,190,18,18,https://api.clickup.com/api/v2/user,236,0,163
1749075530343,185,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-96,text,true,,1267,190,18,18,https://api.clickup.com/api/v2/user,185,0,109
1749075530431,107,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-109,text,true,,1268,190,18,18,https://api.clickup.com/api/v2/user,107,0,34
1749075530430,112,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-107,text,true,,1268,190,18,18,https://api.clickup.com/api/v2/user,112,0,32
1749075530393,152,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-95,text,true,,1268,190,19,19,https://api.clickup.com/api/v2/user,152,0,59
1749075530430,117,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-101,text,true,,1268,190,19,19,https://api.clickup.com/api/v2/user,117,0,32
1749075530298,360,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-106,text,true,,1267,190,21,21,https://api.clickup.com/api/v2/user,360,0,133
1749075530431,227,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-104,text,true,,1267,190,21,21,https://api.clickup.com/api/v2/user,227,0,32
1749075530431,227,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-102,text,true,,1268,190,21,21,https://api.clickup.com/api/v2/user,227,0,34
1749075530430,228,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-105,text,true,,1267,190,21,21,https://api.clickup.com/api/v2/user,228,0,34
1749075530443,323,HTTP Request,200,OK,jp@gc - Ultimate Thread Group 1-94,text,true,,1268,190,23,23,https://api.clickup.com/api/v2/user,323,0,24
